Timestamp,EquipmentID,EquipmentType,Location,EquipmentAgeDays,Alarm_SpanLoss,Alarm_OpticalReturnLoss,Alarm_Temperature,Alarm_Voltage,SpanLoss,OpticalReturnLoss,Temperature,Voltage,PowerOutage,FiberCut,ParentDeviceID,upstream_status,downstream_status,interface_status,interface_in_errors,interface_out_errors,cpu_utilization,memory_utilization,temperature_status,fan_status,power_status,alarms_count,downstream_impact_score,IsRootCause,FaultInjected
2023-06-06 00:00:00,ce-ro-2,Router,London,695,0,0,1,0,0.6240038342910992,58.09210573485264,42.78292779547754,11.894400938731424,False,False,ce-ro-2,up,partial_down,testing,382,99,92,32,critical,normal,normal,3,0.94,1,0
2023-06-06 00:00:00,cpe-sw-12,Switch,New York,1139,0,0,0,0,0.6263381344883688,59.89539488781034,15.754963434577869,12.097380249301802,False,False,cpe-ro-41,up,all_up,up,198,331,76,84,normal,normal,normal,2,0.85,0,0
2023-06-06 00:00:00,cpe-sw-4,Switch,Sydney,293,1,0,0,0,2.548817510828685,56.39564147710237,17.30676004559838,11.896707295424909,False,False,pe-ro-5,up,partial_down,down,44,378,44,87,normal,normal,normal,5,0.88,1,0
2023-06-06 00:00:00,ce-ro-24,Router,London,551,0,0,0,0,0.5561530250111647,59.39915872194981,16.05071625894285,11.899660067917845,False,False,ce-ro-24,up,all_up,testing,344,163,79,89,normal,normal,normal,3,0.02,0,0
2023-06-06 00:00:00,cpe-sw-10,Switch,London,457,1,1,0,0,3.419005179179032,45.307678036096306,17.150788051000287,12.199729722172151,False,False,ce-ro-22,up,all_down,up,6,176,59,96,normal,normal,normal,4,0.8,1,0
2023-06-06 00:00:00,ce-ro-21,Router,London,630,0,0,0,0,0.6042155500760108,55.39639978127478,17.163705857615184,12.096247462220779,False,False,ce-ro-21,down,partial_down,up,65,197,43,79,warning,failed,normal,5,0.26,0,0
2023-06-06 00:00:00,ce-ro-17,Router,Sydney,581,0,0,0,0,0.6675492916282889,60.19602795028454,15.605752269736952,12.09885967638591,False,False,ce-ro-17,up,all_up,up,20,12,84,60,normal,normal,normal,5,0.53,0,0
2023-06-06 00:00:00,ce-ro-8,Router,London,356,0,0,0,0,0.5630881903049897,59.099078005123204,16.152270364704073,11.899682727697432,False,False,ce-ro-8,up,all_up,up,156,128,71,81,normal,normal,normal,3,0.5,0,0
2023-06-06 00:00:00,ce-ro-14,Router,New York,1191,0,0,0,0,0.5105054619880494,58.09805118788154,16.905903871722032,11.798707933553104,False,False,ce-ro-14,degraded,all_down,up,190,93,76,54,warning,normal,normal,0,0.06,0,0
2023-06-06 00:00:00,cpe-ro-4,Router,New York,793,1,1,1,1,3.4031412024884693,44.99591890133258,41.863811899160176,10.05082154958404,False,False,cpe-ro-4,up,partial_down,down,452,357,94,94,critical,failed,failed,5,0.34,1,1
2023-06-06 00:00:00,cpe-sw-6,Switch,New York,1575,0,0,1,0,0.7112199591226954,56.99211309799673,41.176876329111494,11.997886832543696,False,False,pe-ro-2,down,partial_down,down,363,395,87,39,warning,normal,normal,5,0.86,1,0
